Video Name,Label
v_ApplyEyeMakeup_g16_c03.avi,0
v_ApplyEyeMakeup_g14_c01.avi,0
v_ApplyEyeMakeup_g15_c03.avi,0
v_ApplyEyeMakeup_g02_c03.avi,0
v_ApplyEyeMakeup_g18_c04.avi,0
v_ApplyEyeMakeup_g11_c02.avi,0
v_ApplyEyeMakeup_g18_c01.avi,0
v_ApplyEyeMakeup_g08_c05.avi,0
v_ApplyEyeMakeup_g06_c05.avi,0
v_ApplyEyeMakeup_g24_c04.avi,0
v_ApplyLipstick_g08_c03.avi,1
v_ApplyLipstick_g16_c01.avi,1
v_ApplyLipstick_g18_c04.avi,1
v_ApplyLipstick_g07_c01.avi,1
v_ApplyLipstick_g19_c02.avi,1
v_ApplyLipstick_g01_c04.avi,1
v_ApplyLipstick_g22_c07.avi,1
v_ApplyLipstick_g19_c04.avi,1
v_ApplyLipstick_g17_c05.avi,1
v_ApplyLipstick_g17_c03.avi,1
