Video Name,Label
v_ApplyEyeMakeup_g18_c04.avi,0
v_ApplyEyeMakeup_g23_c06.avi,0
v_ApplyEyeMakeup_g25_c05.avi,0
v_ApplyEyeMakeup_g24_c02.avi,0
v_ApplyEyeMakeup_g10_c03.avi,0
v_ApplyEyeMakeup_g08_c02.avi,0
v_ApplyEyeMakeup_g22_c02.avi,0
v_ApplyEyeMakeup_g18_c03.avi,0
v_ApplyEyeMakeup_g16_c04.avi,0
v_ApplyEyeMakeup_g23_c03.avi,0
v_ApplyLipstick_g17_c02.avi,1
v_ApplyLipstick_g03_c02.avi,1
v_ApplyLipstick_g02_c03.avi,1
v_ApplyLipstick_g22_c04.avi,1
v_ApplyLipstick_g07_c02.avi,1
v_ApplyLipstick_g14_c04.avi,1
v_ApplyLipstick_g17_c01.avi,1
v_ApplyLipstick_g20_c04.avi,1
v_ApplyLipstick_g17_c04.avi,1
v_ApplyLipstick_g14_c02.avi,1
