Video Name,Label
v_ApplyEyeMakeup_g25_c05.avi,0
v_ApplyEyeMakeup_g18_c02.avi,0
v_ApplyEyeMakeup_g22_c05.avi,0
v_ApplyEyeMakeup_g23_c02.avi,0
v_ApplyEyeMakeup_g22_c04.avi,0
v_ApplyEyeMakeup_g01_c01.avi,0
v_ApplyEyeMakeup_g14_c05.avi,0
v_ApplyEyeMakeup_g04_c02.avi,0
v_ApplyEyeMakeup_g07_c03.avi,0
v_ApplyEyeMakeup_g01_c02.avi,0
v_ApplyLipstick_g18_c01.avi,1
v_ApplyLipstick_g25_c02.avi,1
v_ApplyLipstick_g03_c02.avi,1
v_ApplyLipstick_g25_c04.avi,1
v_ApplyLipstick_g04_c04.avi,1
v_ApplyLipstick_g23_c02.avi,1
v_ApplyLipstick_g16_c02.avi,1
v_ApplyLipstick_g22_c04.avi,1
v_ApplyLipstick_g09_c01.avi,1
v_ApplyLipstick_g15_c04.avi,1
