Video Name,Label
v_ApplyEyeMakeup_g09_c02.avi,0
v_ApplyEyeMakeup_g04_c04.avi,0
v_ApplyEyeMakeup_g07_c04.avi,0
v_ApplyEyeMakeup_g11_c01.avi,0
v_ApplyEyeMakeup_g16_c01.avi,0
v_ApplyEyeMakeup_g08_c03.avi,0
v_ApplyEyeMakeup_g19_c01.avi,0
v_ApplyEyeMakeup_g25_c02.avi,0
v_ApplyEyeMakeup_g08_c05.avi,0
v_ApplyEyeMakeup_g15_c04.avi,0
v_ApplyLipstick_g19_c02.avi,1
v_ApplyLipstick_g20_c03.avi,1
v_ApplyLipstick_g22_c03.avi,1
v_ApplyLipstick_g18_c04.avi,1
v_ApplyLipstick_g19_c04.avi,1
v_ApplyLipstick_g23_c02.avi,1
v_ApplyLipstick_g04_c05.avi,1
v_ApplyLipstick_g02_c04.avi,1
v_ApplyLipstick_g06_c01.avi,1
v_ApplyLipstick_g24_c04.avi,1
